"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18","pods_per_ped"
"40","MW021","2019",2.17777777777778,52.7953944398004,"Rural",10.2,108.2,1500,37,115.4,2.6,2.6,5,-3.55627,10.375,40.5405405405405,0.254901960784314
"41","MW023","2018",NA,57.965848752526,"Rural",2.2,85.2,600,18,85.2,0.6,0.6,5,-3.23351,NA,33.3333333333333,0.272727272727273
"42","MW023","2019",NA,57.965848752526,"Rural",10,NA,600,18,76.8,2,2,5,-3.23351,9.35,33.3333333333333,0.2
"43","MW026","2018",NA,8.72565115733648,"North",3.8,68.8,160,40,68.8,1.4,1.4,5,1.69829,NA,4,0.368421052631579
"44","MW026","2019",0.742222222222222,8.72565115733648,"North",8.2,92.7,160,40,91.6,5,5,5,1.69829,9.3725,4,0.609756097560976
"45","MW027","2018",2,9.38480336002964,"North",6,80.4,48,37,80.4,3.2,3.2,5,0.822976,NA,1.2972972972973,0.533333333333333
"46","MW027","2019",NA,9.38480336002964,"North",2.4,NA,48,37,51.6,0,0,5,0.822976,0,1.2972972972973,0
"47","MW028","2018",NA,9.18866419885103,"North",3.6,85.6,4000,15,85.6,1.8,1.8,5,1.62646,NA,266.666666666667,0.5
"48","MW028","2019",NA,9.18866419885103,"North",10.8,NA,4000,15,106,5.8,5.8,5,1.62646,8.542,266.666666666667,0.537037037037037
"49","MW029","2018",NA,9.94702200379316,"North",9,121.8,9,16,121.8,4.2,4.2,5,1.68161,NA,0.5625,0.466666666666667
"50","MW029","2019",0.911111111111111,9.94702200379316,"North",9.6,137.2,9,16,140.8,4.8,4.8,5,1.68161,10.0066666666667,0.5625,0.5
"51","MW030","2018",NA,11.9294361220938,"North",13.6,150,2,2,150,4.2,4.2,5,0.942832,NA,1,0.308823529411765
"52","MW030","2019",0.555555555555556,11.9294361220938,"North",6.8,145.8,2,2,164.4,9.2,9.2,5,0.942832,9.65987179487179,1,1.35294117647059
"53","MW031","2018",NA,12.5499941861896,"North",7.6,86.2,6000,21,86.2,2,2,5,1.87618,NA,285.714285714286,0.263157894736842
"54","MW031","2019",1.04444444444444,12.5499941861896,"North",8,101.3,6000,21,96.8,2.4,2.4,5,1.87618,9.55,285.714285714286,0.3
"55","MW032","2018",2.02777777777778,9.54746298971845,"South",7,103,6000,24,103,4,4,5,1.9821,NA,250,0.571428571428571
"56","MW032","2019",1.13333333333333,9.54746298971845,"South",8.6,83.4,6000,24,84,5.6,6.8,5,1.9821,8.22666666666667,250,0.790697674418605
"57","MW033","2018",NA,62.8806509103204,"Rural",1,59.6666666666667,80,22,59.6666666666667,0,0,5,-3.23043,NA,3.63636363636364,0
"58","MW033","2019",2.68253968253968,62.8806509103204,"Rural",NA,72.2,80,22,NA,NA,0,5,-3.23043,NA,3.63636363636364,NA
"59","MW034","2018",3.59259259259259,63.6238543019205,"Rural",NA,NA,18850,42,NA,NA,NA,5,-3.48661,NA,448.809523809524,NA
"60","MW034","2019",2.46666666666667,63.6238543019205,"Rural",NA,117.4,18850,42,NA,NA,0,5,-3.48661,NA,448.809523809524,NA
"61","MW035","2018",1.85185185185185,67.2500474239397,"Rural",7.4,99.6,8000,13,99.6,3.8,3.8,5,-3.55182,NA,615.384615384615,0.513513513513513
"62","MW035","2019",1.5,67.2500474239397,"Rural",12.2,111.75,8000,13,118.8,4.8,4.8,5,-3.55182,9.02222222222222,615.384615384615,0.39344262295082
"63","MW036","2018",NA,65.630649050805,"Rural",7,86.4,1800,13,86.4,2.8,2.8,5,-3.25583,NA,138.461538461538,0.4
"64","MW036","2019",2.3,65.630649050805,"Rural",7.8,96.8,1800,13,100.4,2.6,2.6,5,-3.25583,9.62,138.461538461538,0.333333333333333
"65","MW037","2018",NA,14.0671690528913,"North",1.2,66,70,26,66,0,0,5,0.219585,NA,2.69230769230769,0
"66","MW037","2019",0.916666666666667,14.0671690528913,"North",NA,119.5,70,26,NA,NA,0,5,0.219585,NA,2.69230769230769,NA
"67","MW039","2018",0.75,15.4589940728025,"North",9.8,100.6,10000,34,100.6,4.4,4.4,5,2.30737,NA,294.117647058824,0.448979591836735
"68","MW039","2019",0.844444444444444,15.4589940728025,"North",10.8,105.4,10000,34,99.4,4.6,5,5,2.30737,9.76875,294.117647058824,0.462962962962963
"69","MW040","2018",NA,15.8640513430648,"North",5.4,78.8,2000,11,78.8,2.2,2.2,5,1.5481,NA,181.818181818182,0.407407407407407
"70","MW040","2019",0.511111111111111,15.8640513430648,"North",8.8,106.4,2000,11,95.4,4,4,5,1.5481,10.3555555555556,181.818181818182,0.454545454545455
"71","MW041","2018",NA,15.4960628619836,"North",5,92.2,50,35,92.2,3,3,5,0.524692,NA,1.42857142857143,0.6
"72","MW041","2019",0.833333333333333,15.4960628619836,"North",1,84,50,35,61.2,0,0,5,0.524692,NA,1.42857142857143,0
"73","MW042","2018",0.666666666666667,15.8386656760841,"North",3.2,92.2,10,5,92.2,2.8,2.8,5,2.65813,NA,2,0.875
"74","MW042","2019",NA,15.8386656760841,"North",1,NA,10,5,59.6666666666667,0,0,5,2.65813,NA,2,0
"75","MW044","2018",0.333333333333333,61.5079307080729,"Rural",1,60.25,450,12,60.25,0,0,5,-3.07271,NA,37.5,0
"76","MW044","2019",1.08333333333333,61.5079307080729,"Rural",NA,121,450,12,NA,NA,0,5,-3.07271,NA,37.5,NA
"77","MW045","2018",1.73611111111111,59.0303809861202,"Rural",5.6,110,430,36,110,4.2,4.2,5,-2.92002,NA,11.9444444444444,0.75
"78","MW045","2019",NA,59.0303809861202,"Rural",NA,NA,430,36,NA,NA,0,5,-2.92002,NA,11.9444444444444,NA
"79","MW046","2018",1.40740740740741,58.3143855323293,"Rural",9.8,160.2,6000,31,160.2,5.4,5.4,5,-2.26854,NA,193.548387096774,0.551020408163265
