Pop_ID,Patch_ID,Latitude,Longitude
AS004,MW003,43.562538,-79.674057
AS006,MW004,43.569004,-79.684245
AS007,MW004,43.566504,-79.680149
AS008,MW004,43.566922,-79.679797
AS009,MW004,43.563919,-79.682622
