"","buildings_cells","vegetation_cells","roads_cells","buildings_labels","veg_labels","Urb_score","Pop_ID","City_dist","Transect_ID"
"79",91,4,97,1.9,0.84,3.37284,"AS080",26.6125138912041,"North"
"80",61,34,71,1.45,1.32,1.16536,"AS081",28.1071525454643,"North"
"81",59,30,86,1.41,1.3,1.41576,"AS082",28.1203606988092,"South"
"82",90,8,74,1.84,0.75,3.02269,"AS083",29.9498682493043,"North"
"83",69,26,73,1.53,1.26,1.56034,"AS084",29.2096546494702,"North"
"84",70,28,71,1.62,1.28,1.55917,"AS085",28.1480398703139,"North"
"85",75,21,83,1.54,1.2,1.95501,"AS086",32.350827430692,"North"
"86",82,6,86,1.8,1.04,2.71046,"AS087",23.9149269077296,"South"
"87",78,15,83,1.75,1.13,2.32931,"AS088",22.558758446384,"South"
"88",73,16,77,1.58,1.16,1.98333,"AS089",21.8290740171044,"South"
"89",20,67,45,0.62,1.67,-1.36283,"AS009",26.404891091306,"South"
"90",81,16,67,1.69,1.16,2.03083,"AS090",20.5069567190536,"South"
"91",79,12,70,1.7,1.12,2.16088,"AS091",19.7143473087768,"South"
"92",79,5,65,1.78,0.97,2.43357,"AS092",17.4375813140448,"South"
"93",57,10,97,1.54,1.1,2.18288,"AS093",14.0968646967494,"South"
