Picture_name;Cells_where_building_label=2;Cells_where_vegetation_label=2;Cells_where_road_label=1;Avg_building_labels;Avg_vegetation_labels;PCA_value;Location_name
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\42\01.bmp;69;24;74;1.48;1.17;1.68161;AS042
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\43\01.bmp;51;44;90;1.35;1.44;0.942832;AS043
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\44\01.bmp;63;18;88;1.48;1.18;1.87618;AS044
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\45\01.bmp;70;21;86;1.63;1.21;1.9821;AS045
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\46\01.bmp;3;95;11;0.15;1.95;-3.23043;AS046
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\47\01.bmp;0;99;9;0.05;1.99;-3.48661;AS047
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\48\01.bmp;0;100;5;0.08;2;-3.55182;AS048
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\49\01.bmp;1;98;14;0.2;1.98;-3.25583;AS049
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\5\01.bmp;29;57;57;1.06;1.56;-0.437052;AS005
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\50\01.bmp;45;40;50;1.18;1.4;0.219585;AS050
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\51\01.bmp;64;28;75;1.57;1.28;1.49438;AS051
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\52\01.bmp;78;11;75;1.76;1.1;2.30737;AS052
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\53\01.bmp;58;25;84;1.47;1.25;1.5481;AS053
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\54\01.bmp;44;45;81;1.15;1.45;0.524692;AS054
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\55\01.bmp;81;11;91;1.79;1.07;2.65813;AS055
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\56\01.bmp;2;97;18;0.27;1.97;-3.1006;AS056
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\57\01.bmp;1;96;22;0.21;1.96;-3.07271;AS057
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\58\01.bmp;6;93;20;0.25;1.93;-2.92002;AS058
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\59\01.bmp;9;85;34;0.49;1.85;-2.26854;AS059
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\6\01.bmp;37;51;57;1.07;1.51;-0.16549;AS006
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\60\01.bmp;6;89;20;0.45;1.89;-2.66342;AS060
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\61\01.bmp;4;93;23;0.43;1.93;-2.76803;AS061
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\62\01.bmp;38;45;68;1.07;1.41;0.2286;AS062
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\63\01.bmp;48;27;66;1.27;1.27;0.92133;AS063
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\64\01.bmp;79;9;93;1.77;1.07;2.67139;AS064
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\65\01.bmp;45;48;66;1.3;1.48;0.342993;AS065
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\66\01.bmp;73;24;79;1.6;1.24;1.81695;AS066
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\67\01.bmp;94;3;95;1.93;1.03;3.17675;AS067
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\68\01.bmp;83;11;77;1.77;1.11;2.4063;AS068
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\69\01.bmp;77;14;78;1.73;1.12;2.24942;AS069
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\7\01.bmp;21;72;41;0.62;1.72;-1.54193;AS007
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\70\01.bmp;78;4;91;1.75;1.04;2.71762;AS070
