to UTM,to Zone,Easting,Northing,Population,Latitude,Longitude,Pop_ID
17T 612287mE 4834453mN,17T,612287,4834453,MW061,43.654607,-79.607519,AS074
17T 611457mE 4834092mN,17T,611457,4834092,MW062,43.651476,-79.617876,AS075
17T 610082mE 4832545mN,17T,610082,4832545,MW063,43.63776,-79.635241,AS076
17T 608745mE 4831529mN,17T,608745,4831529,MW064,43.628807,-79.652009,AS077
17T 606997mE 4831223mN,17T,606997,4831223,MW065,43.626304,-79.673743,AS078
17T 604768mE 4830276mN,17T,604768,4830276,MW066,43.618104,-79.701542,AS079
17T 604427mE 4829757mN,17T,604427,4829757,MW067,43.613475,-79.705867,AS080
17T 603353mE 4827777mN,17T,603353,4827777,MW068,43.595802,-79.719547,AS081
17T 605036mE 4823115mN,17T,605036,4823115,MW069,43.553597,-79.699608,AS082
17T 602282mE 4825008mN,17T,602282,4825008,MW070,43.571026,-79.733337,AS083
17T 603332mE 4824317mN,17T,603332,4824317,MW071,43.564655,-79.720469,AS084
17T 603879mE 4825908mN,17T,603879,4825908,MW072,43.5789,-79.713398,AS085
17T 600412mE 4823151mN,17T,600412,4823151,MW073,43.554564,-79.756834,AS086
17T 608868mE 4824856mN,17T,608868,4824856,MW074,43.568721,-79.651832,AS087
17T 610099mE 4825428mN,17T,610099,4825428,MW075,43.573691,-79.63648,AS088
17T 610610mE 4826063mN,17T,610610,4826063,MW076,43.579335,-79.630017,AS089
17T 611537mE 4827260mN,17T,611537,4827260,MW077,43.589966,-79.6183,AS090
17T 612333mE 4827409mN,17T,612333,4827409,MW078,43.591194,-79.608405,AS091
17T 614309mE 4828600mN,17T,614309,4828600,MW079,43.601609,-79.583684,AS092
17T 616714mE 4832221mN,17T,616714,4832221,MW080,43.633829,-79.553119,AS093
