Patch_ID,Pop_ID,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Reference_lat,Reference_long
AS025,MW012,43.534585,-79.645432,South,15.68,,
AS025,MW012,43.534585,-79.645432,South,15.68,,
AS025,MW012,43.534585,-79.645432,South,15.68,,
AS026,MW013,43.615384,-79.570454,South,9.89,,
AS026,MW013,43.615384,-79.570454,South,9.89,,
AS026,MW013,43.615384,-79.570454,South,9.89,,
AS026,MW013,43.615384,-79.570454,South,9.89,,
AS026,MW013,43.615384,-79.570454,South,9.89,,
AS027,MW014,43.648581,-79.521463,South,7.05,,
AS027,MW014,43.648581,-79.521463,South,7.05,,
AS027,MW014,43.648581,-79.521463,South,7.05,,
AS027,MW014,43.648581,-79.521463,South,7.05,,
AS027,MW014,43.648581,-79.521463,South,7.05,,
AS028,MW015,43.661177,-79.500382,South,5.98,,
AS028,MW015,43.661177,-79.500382,South,5.98,,
AS028,MW015,43.661177,-79.500382,South,5.98,,
AS028,MW015,43.661177,-79.500382,South,5.98,,
AS028,MW015,43.661177,-79.500382,South,5.98,,
AS029,MW016,43.711948,-79.535894,North,8.65,,
AS029,MW016,43.711948,-79.535894,North,8.65,,
AS029,MW016,43.711948,-79.535894,North,8.65,,
AS029,MW016,43.711948,-79.535894,North,8.65,,
AS029,MW016,43.711948,-79.535894,North,8.65,,
AS030,MW017,43.501061,-79.844567,Rural,25.57,,
AS030,MW017,43.501061,-79.844567,Rural,25.57,,
AS030,MW017,43.501061,-79.844567,Rural,25.57,,
AS030,MW017,43.501061,-79.844567,Rural,25.57,,
AS030,MW017,43.501061,-79.844567,Rural,25.57,,
AS031,MW018,43.484111,-79.837702,Rural,25.78,,
AS031,MW018,43.484111,-79.837702,Rural,25.78,,
AS031,MW018,43.484111,-79.837702,Rural,25.78,,
AS031,MW018,43.484111,-79.837702,Rural,25.78,,
AS031,MW018,43.484111,-79.837702,Rural,25.78,,
AS032,MW019,43.41401,-79.953028,Rural,33.19,,
AS032,MW019,43.41401,-79.953028,Rural,33.19,,
AS032,MW019,43.41401,-79.953028,Rural,33.19,,
AS032,MW019,43.41401,-79.953028,Rural,33.19,,
AS032,MW019,43.41401,-79.953028,Rural,33.19,,
