Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Average_Pollinia,Area_sq_m,Plants_present,Weevil_attack_Eggs,NLCD,Notes,Pop_Age_Stage,Pods_Seen,Date_Found,Date_Found_365,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Date_Revisited,Date_Revisited_365,Height_cm,Pods,Peduncles,Leaf_coll,Leaf_coll_binary,Seeds_coll,Seeds_coll_binary,Notes
AS004,MW003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,"Y, eggs","Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS005,MW004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,"Y, eggs","Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",NA,NA,7/9/2018,190,43.567334,-79.686386,South,16.47,9/16/2018,259,130,1,4,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 1."
AS005,MW004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",NA,NA,7/9/2018,190,43.567334,-79.686386,South,16.47,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS005,MW004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",NA,NA,7/9/2018,190,43.567334,-79.686386,South,16.47,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS005,MW004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",NA,NA,7/9/2018,190,43.567334,-79.686386,South,16.47,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS005,MW004,5,0,0,0,NA,NA,NA,NA,NA,NA,0,20,20,N,"Scrub/Shrub
Open Water
Deciduous Forest","Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",NA,NA,7/9/2018,190,43.567334,-79.686386,South,16.47,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS006,MW004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Y,"Open Space, Medium Intensity
Scrub/Shrub
Deciduous Forest",Garden in front yard of 4416 Credit Pointe Drive,NA,NA,7/9/2018,190,43.569004,-79.684245,South,16.33,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS006,MW004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,N,"Open Space, Medium Intensity
Scrub/Shrub
Deciduous Forest",Garden in front yard of 4416 Credit Pointe Drive,NA,NA,7/9/2018,190,43.569004,-79.684245,South,16.33,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS007,MW004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566504,-79.680149,South,16.21,9/16/2018,259,82,7,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 3."
AS007,MW004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566504,-79.680149,South,16.21,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS007,MW004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566504,-79.680149,South,16.21,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS007,MW004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566504,-79.680149,South,16.21,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS007,MW004,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,10,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566504,-79.680149,South,16.21,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS008,MW004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566922,-79.679797,South,16.18,9/16/2018,259,76,2,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 2."
AS008,MW004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566922,-79.679797,South,16.18,9/16/2018,259,60,2,2,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 4."
AS008,MW004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566922,-79.679797,South,16.18,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS008,MW004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25,"Y, eggs",Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566922,-79.679797,South,16.18,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS008,MW004,5,2,1,0,NA,NA,NA,NA,NA,NA,1,20,25,"Y, eggs",Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.566922,-79.679797,South,16.18,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS009,MW004,1,3,2,2,5,4,0,NA,NA,NA,2.67,15,5,Y,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.563919,-79.682622,South,16.39,9/16/2018,259,111,5,3,yes,1,yes,1,"One plant sampled from AS005, one 90 m NW of AS008, one from AS007, one from AS008, and one from AS009 to combine into sampled population MW004. One plant left at AS006 had no pods. Plant 5."
AS009,MW004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.563919,-79.682622,South,16.39,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS009,MW004,3,4,1,0,3,4,4,NA,NA,NA,2.67,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.563919,-79.682622,South,16.39,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS009,MW004,4,1,1,0,2,1,1,4,1,0,1.22,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.563919,-79.682622,South,16.39,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS009,MW004,5,1,5,4,2,2,2,1,0,2,2.11,15,5,N,Scrub/Shrub,Right of Way (mowed and unmowed areas),NA,NA,7/9/2018,190,43.563919,-79.682622,South,16.39,9/16/2018,259,NA,NA,NA,NA,1,yes,1,
AS010,MW005,1,2,0,1,1,0,1,1,0,3,1,9,15,"Y, eggs","Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.493329,-79.747541,South,21.53,9/14/2018,257,80,2,2,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,2,0,0,0,0,4,3,1,2,3,1.44,9,15,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.493329,-79.747541,South,21.53,9/14/2018,257,94,5,3,yes,1,yes,1,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,3,1,2,2,3,1,1,NA,NA,NA,1.67,9,15,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.493329,-79.747541,South,21.53,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,4,2,0,0,0,NA,NA,NA,NA,NA,0.5,9,15,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.493329,-79.747541,South,21.53,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS010,MW005,5,0,1,0,0,0,1,1,0,0,0.33,9,15,N,"Cropland
Developed, Low Intensity",,NA,NA,7/10/2018,191,43.493329,-79.747541,South,21.53,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",NA,NA,7/10/2018,191,43.493262,-79.747925,South,21.55,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
AS011,MW005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,N,"Cropland
Developed, Low Intensity","Population looks diseased: spots, discoloration, and herbivory observed",NA,NA,7/10/2018,191,43.493262,-79.747925,South,21.55,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW005, collected 2 plants from AS010, 2 plants from AS012, and 1 plant from AS013. Plants at AS011 had no see/leaves. "
