to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 624760mE 4836503mN,17T,624760,4836503,MW056,43.671068,-79.452408
17T 623978mE 4836397mN,17T,623978,4836397,MW057,43.67024,-79.462135
17T 622997mE 4836553mN,17T,622997,4836553,MW058,43.671812,-79.474258
17T 622337mE 4836390mN,17T,622337,4836390,MW059,43.670454,-79.482484
17T 614231mE 4833640mN,17T,614231,4833640,MW060,43.646988,-79.583587
