to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 627144mE 4836393mN,17T,627144,4836393,MW051,43.669676,-79.422881
17T 628058mE 4837639mN,17T,628058,4837639,MW052,43.680726,-79.411251
17T 626691mE 4838769mN,17T,626691,4838769,MW053,43.691138,-79.427943
17T 626391mE 4837388mN,17T,626391,4837388,MW054,43.67876,-79.431977
17T 625234mE 4836902mN,17T,625234,4836902,MW055,43.674579,-79.446438
