to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 598659mE 4810251mN,17T,598659,4810251,MW006,43.438669,-79.780878
17T 588666mE 4809649mN,17T,588666,4809649,MW007,43.434493,-79.904435
17T 591676mE 4812239mN,17T,591676,4812239,MW008,43.457451,-79.866815
17T 598667mE 4818871mN,17T,598667,4818871,MW009,43.516263,-79.77922
17T 597653mE 4819917mN,17T,597653,4819917,MW010,43.525816,-79.791571
