to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 604768mE 4830276mN,17T,604768,4830276,MW066,43.618104,-79.701542
17T 604427mE 4829757mN,17T,604427,4829757,MW067,43.613475,-79.705867
17T 603353mE 4827777mN,17T,603353,4827777,MW068,43.595802,-79.719547
17T 605036mE 4823115mN,17T,605036,4823115,MW069,43.553597,-79.699608
17T 602282mE 4825008mN,17T,602282,4825008,MW070,43.571026,-79.733337
