to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 619583mE 4841078mN,17T,619583,4841078,MW031,43.713092,-79.515599
17T 621086mE 4836276mN,17T,621086,4836276,MW032,43.66963,-79.498027
17T 577545mE 4801117mN,17T,577545,4801117,MW033,43.358912,-80.043033
17T 576774mE 4800942mN,17T,576774,4800942,MW034,43.357422,-80.052572
17T 573069mE 4800027mN,17T,573069,4800027,MW035,43.349551,-80.098407
