to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 609909mE 4827192mN,17T,609909,4827192,MW011,43.589594,-79.638468
17T 609447mE 4821073mN,17T,609447,4821073,MW012,43.534585,-79.645432
17T 615350mE 4830148mN,17T,615350,4830148,MW013,43.615384,-79.570454
17T 619238mE 4833904mN,17T,619238,4833904,MW014,43.648581,-79.521463
17T 620913mE 4835334mN,17T,620913,4835334,MW015,43.661177,-79.500382
