to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 625244mE 4841888mN,17T,625244,4841888,MW026,43.719453,-79.445163
17T 625195mE 4842666mN,17T,625195,4842666,MW027,43.726466,-79.445593
17T 623797mE 4841197mN,17T,623797,4841197,MW028,43.713472,-79.463271
17T 622790mE 4841190mN,17T,622790,4841190,MW029,43.713584,-79.475768
17T 620361mE 4841178mN,17T,620361,4841178,MW030,43.71387,-79.505919
