to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 603332mE 4824317mN,17T,603332,4824317,MW071,43.564655,-79.720469
17T 603879mE 4825908mN,17T,603879,4825908,MW072,43.5789,-79.713398
17T 600412mE 4823151mN,17T,600412,4823151,MW073,43.554564,-79.756834
17T 608868mE 4824856mN,17T,608868,4824856,MW074,43.568721,-79.651832
17T 610099mE 4825428mN,17T,610099,4825428,MW075,43.573691,-79.63648
