to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 612287mE 4834453mN,17T,612287,4834453,MW061,43.654607,-79.607519
17T 611457mE 4834092mN,17T,611457,4834092,MW062,43.651476,-79.617876
17T 610082mE 4832545mN,17T,610082,4832545,MW063,43.63776,-79.635241
17T 608745mE 4831529mN,17T,608745,4831529,MW064,43.628807,-79.652009
17T 606997mE 4831223mN,17T,606997,4831223,MW065,43.626304,-79.673743
