to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 610610mE 4826063mN,17T,610610,4826063,MW076,43.579335,-79.630017
17T 611537mE 4827260mN,17T,611537,4827260,MW077,43.589966,-79.6183
17T 612333mE 4827409mN,17T,612333,4827409,MW078,43.591194,-79.608405
17T 614309mE 4828600mN,17T,614309,4828600,MW079,43.601609,-79.583684
17T 616714mE 4832221mN,17T,616714,4832221,MW080,43.633829,-79.553119
