to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 584319mE 4799436mN,17T,584319,4799436,MW046,43.343046,-79.959704
17T 600985mE 4819258mN,17T,600985,4819258,MW047,43.519441,-79.750471
17T 601958mE 4820501mN,17T,601958,4820501,MW048,43.530493,-79.738194
17T 602378mE 4821001mN,17T,602378,4821001,MW049,43.534939,-79.732912
17T 603287mE 4821029mN,17T,603287,4821029,MW050,43.535065,-79.721652
