to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 615146mE 4836782mN,17T,615146,4836782,MW041,43.675131,-79.571575
17T 614707mE 4835545mN,17T,614707,4835545,MW042,43.664067,-79.577284
17T 577976mE 4797129mN,17T,577976,4797129,MW043,43.32296,-80.038276
17T 581430mE 4797956mN,17T,581430,4797956,MW044,43.330042,-79.995566
17T 584065mE 4798598mN,17T,584065,4798598,MW045,43.335538,-79.962974
