to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 577084mE 4796903mN,17T,577084,4796903,MW036,43.321018,-80.049313
17T 617337mE 4839823mN,17T,617337,4839823,MW037,43.702158,-79.543737
17T 616877mE 4839690mN,17T,616877,4839690,MW038,43.701032,-79.549473
17T 615826mE 4839716mN,17T,615826,4839716,MW039,43.701432,-79.56251
17T 615057mE 4838442mN,17T,615057,4838442,MW040,43.690086,-79.572325
