to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
17T 586600mE 4805704mN,17T,586600,4805704,MW021,43.399222,-79.930576
17T 583125mE 4803208mN,17T,583125,4803208,MW022,43.377146,-79.973861
17T 582489mE 4802552mN,17T,582489,4802552,MW023,43.371308,-79.981819
17T 579834mE 4801636mN,17T,579834,4801636,MW024,43.363349,-80.01471
17T 626280mE 4842721mN,17T,626280,4842721,MW025,43.726774,-79.432109
